omega,t_otim,t_normal,delta_t
0.1,241.74382972717285,207.98944902420044,33.75438070297241
0.11,243.21893525123596,207.98944902420044,35.22948622703552
0.12,238.6148009300232,207.98944902420044,30.625351905822754
0.13,234.9442834854126,207.98944902420044,26.954834461212158
0.14,228.05812525749207,207.98944902420044,20.068676233291626
0.15,223.05081343650818,207.98944902420044,15.06136441230774
0.16,219.22166776657104,207.98944902420044,11.232218742370605
0.17,213.52811121940613,207.98944902420044,5.5386621952056885
0.18,209.47474932670593,207.98944902420044,1.4853003025054932
0.19,205.98473167419434,207.98944902420044,2.0047173500061035
0.2,202.11046385765076,207.98944902420044,5.878985166549683
0.21,198.89941096305847,207.98944902420044,9.090038061141968
0.22,194.86114716529846,207.98944902420044,13.128301858901978
0.23,192.07686495780945,207.98944902420044,15.912584066390991
0.24,187.8951609134674,207.98944902420044,20.094288110733032
0.25,185.67263555526733,207.98944902420044,22.316813468933105
0.26,181.538494348526,207.98944902420044,26.45095467567444
0.27,177.47235131263733,207.98944902420044,30.51709771156311
0.28,175.2908284664154,207.98944902420044,32.698620557785034
0.29,171.74233055114746,207.98944902420044,36.24711847305298
0.3,168.71902441978455,207.98944902420044,39.270424604415894
0.31,165.47460913658142,207.98944902420044,42.51483988761902
0.32,162.8013095855713,207.98944902420044,45.18813943862915
0.33,159.16366028785706,207.98944902420044,48.825788736343384
0.34,157.15995001792908,207.98944902420044,50.82949900627136
0.35,153.2724049091339,207.98944902420044,54.71704411506653
0.36,149.5247151851654,207.98944902420044,58.464733839035034
0.37,147.6328103542328,207.98944902420044,60.35663866996765
0.38,145.33621287345886,207.98944902420044,62.65323615074158
0.39,141.73867106437683,207.98944902420044,66.25077795982361
0.4,138.28001594543457,207.98944902420044,69.70943307876587
0.41,136.15980768203735,207.98944902420044,71.82964134216309
0.42,151.45035886764526,207.98944902420044,56.539090156555176
0.43,142.84612846374512,207.98944902420044,65.14332056045532
0.44,139.52410531044006,207.98944902420044,68.46534371376038
0.45,134.7687633037567,207.98944902420044,73.22068572044373
0.46,131.60616207122803,207.98944902420044,76.38328695297241
0.47,128.27290868759155,207.98944902420044,79.71654033660889
0.48,127.00111317634583,207.98944902420044,80.98833584785461
0.49,123.73279237747192,207.98944902420044,84.25665664672852
0.5,119.8998441696167,207.98944902420044,88.08960485458374
0.51,116.68640613555908,207.98944902420044,91.30304288864136
0.52,114.54815721511841,207.98944902420044,93.44129180908203
0.53,111.40905261039734,207.98944902420044,96.5803964138031
0.54,110.47196221351624,207.98944902420044,97.5174868106842
0.55,106.82533717155457,207.98944902420044,101.16411185264587
0.56,104.56610012054443,207.98944902420044,103.423348903656
0.57,100.91954493522644,207.98944902420044,107.069904088974
0.58,99.34125876426697,207.98944902420044,108.64819025993347
0.59,97.64481091499329,207.98944902420044,110.34463810920715
0.6,94.52796006202698,207.98944902420044,113.46148896217346
0.61,92.41303443908691,207.98944902420044,115.57641458511353
0.62,87.5614378452301,207.98944902420044,120.42801117897034
0.63,86.8788959980011,207.98944902420044,121.11055302619934
0.64,83.217768907547,207.98944902420044,124.77168011665344
0.65,81.6929943561554,207.98944902420044,126.29645466804504
0.66,79.46554827690125,207.98944902420044,128.5239007472992
0.67,77.0251395702362,207.98944902420044,130.96430945396423
0.68,74.51441144943237,207.98944902420044,133.47503757476807
0.69,72.35731410980225,207.98944902420044,135.6321349143982
0.7,70.3181505203247,207.98944902420044,137.67129850387573
0.71,66.31554675102234,207.98944902420044,141.6739022731781
0.72,64.84635591506958,207.98944902420044,143.14309310913086
0.73,63.376113414764404,207.98944902420044,144.61333560943604
0.74,59.535335540771484,207.98944902420044,148.45411348342896
0.75,58.20701217651367,207.98944902420044,149.78243684768677
0.76,54.95529103279114,207.98944902420044,153.0341579914093
0.77,53.19513416290283,207.98944902420044,154.7943148612976
0.78,51.26894688606262,207.98944902420044,156.72050213813782
0.79,48.327574014663696,207.98944902420044,159.66187500953674
0.8,45.77116918563843,207.98944902420044,162.218279838562
0.81,44.34827637672424,207.98944902420044,163.6411726474762
0.82,41.031237840652466,207.98944902420044,166.95821118354797
0.83,39.582409620285034,207.98944902420044,168.4070394039154
0.84,38.13325572013855,207.98944902420044,169.8561933040619
0.85,34.59415411949158,207.98944902420044,173.39529490470886
0.86,32.53414273262024,207.98944902420044,175.4553062915802
0.87,29.098081827163696,207.98944902420044,178.89136719703674
0.88,28.447524547576904,207.98944902420044,179.54192447662354
0.89,25.08555769920349,207.98944902420044,182.90389132499695
0.9,22.185694456100464,207.98944902420044,185.80375456809998
0.91,19.54402208328247,207.98944902420044,188.44542694091797
0.92,18.214083671569824,207.98944902420044,189.77536535263062
0.93,14.373903036117554,207.98944902420044,193.61554598808289
0.94,8.20752215385437,207.98944902420044,199.78192687034607
0.95,11.083426237106323,207.98944902420044,196.90602278709412
0.96,13.827497959136963,207.98944902420044,194.16195106506348
0.97,18.324492931365967,207.98944902420044,189.66495609283447
0.98,27.436136960983276,207.98944902420044,180.55331206321716
0.99,55.57101392745972,207.98944902420044,152.41843509674072
